target ,angle  ,error   ,outputRPM ,time  ,timeSettled
90     ,0      ,90      ,45        ,0.001 ,      0.001 ,
90     ,0      ,90      ,67.5      ,0.022 ,      0.001 ,
90     ,0      ,90      ,67.5      ,0.043 ,      0.001 ,
90     ,3.52   ,86.48   ,65.74     ,0.064 ,      0.001 ,
90     ,11.34  ,78.66   ,60.95     ,0.085 ,      0.001 ,
90     ,19.78  ,70.22   ,54.775    ,0.106 ,      0.001 ,
90     ,28.39  ,61.61   ,48.36     ,0.127 ,      0.001 ,
90     ,36.74  ,53.26   ,42.0325   ,0.148 ,      0.001 ,
90     ,44.91  ,45.09   ,35.86     ,0.169 ,      0.001 ,
90     ,51.86  ,38.14   ,30.3425   ,0.19  ,      0.001 ,
90     ,58.27  ,31.73   ,25.4      ,0.211 ,      0.001 ,
90     ,64.6   ,25.4    ,20.6325   ,0.232 ,      0.001 ,
90     ,69.79  ,20.21   ,16.455    ,0.253 ,      0.001 ,
90     ,73.48  ,16.52   ,13.4777   ,0.274 ,      0.001 ,
90     ,77.17  ,12.83   ,10.8385   ,0.295 ,      0.001 ,
90     ,82     ,8       ,7.581     ,0.316 ,      0.001 ,
90     ,83.58  ,6.42    ,5.6477    ,0.337 ,      0.001 ,
90     ,84.82  ,5.18    ,4.6845    ,0.358 ,      0.001 ,
90     ,85.69  ,4.31    ,3.9826    ,0.379 ,      0.022 ,
90     ,86.22  ,3.78    ,3.5379    ,0.4   ,      0.043 ,
90     ,86.57  ,3.43    ,3.2647    ,0.421 ,      0.064 ,
90     ,86.92  ,3.08    ,3.033     ,0.442 ,      0.085 ,
90     ,87.28  ,2.72    ,2.7927    ,0.463 ,      0.106 ,
90     ,87.45  ,2.55    ,2.6432    ,0.484 ,      0.127 ,
90     ,87.63  ,2.37    ,2.5344    ,0.505 ,      0.148 ,
90     ,87.63  ,2.37    ,2.5131    ,0.526 ,      0.169 ,
90     ,87.63  ,2.37    ,2.5368    ,0.547 ,      0.19  ,
90     ,87.8   ,2.2     ,2.4738    ,0.568 ,      0.211 ,
90     ,87.8   ,2.2     ,2.4533    ,0.589 ,      0.232 ,
-90    ,87.8   ,-177.8  ,-88.9     ,0.001 ,      0.001 ,
-90    ,87.98  ,-177.98 ,-133.44   ,0.022 ,      0.001 ,
-90    ,87.98  ,-177.98 ,-133.485  ,0.043 ,      0.001 ,
-90    ,82.44  ,-172.44 ,-130.715  ,0.064 ,      0.001 ,
-90    ,70.49  ,-160.49 ,-123.355  ,0.085 ,      0.001 ,
-90    ,57.57  ,-147.57 ,-113.907  ,0.106 ,      0.001 ,
-90    ,44.3   ,-134.3  ,-104.043  ,0.127 ,      0.001 ,
-90    ,30.76  ,-120.76 ,-93.955   ,0.148 ,      0.001 ,
-90    ,17.05  ,-107.05 ,-83.715   ,0.169 ,      0.001 ,
-90    ,3.08   ,-93.08  ,-73.3025  ,0.19  ,      0.001 ,
-90    ,-9.67  ,-80.33  ,-63.435   ,0.211 ,      0.001 ,
-90    ,-21.36 ,-68.64  ,-54.4025  ,0.232 ,      0.001 ,
-90    ,-32.87 ,-57.13  ,-45.725   ,0.253 ,      0.001 ,
-90    ,-43.42 ,-46.58  ,-37.5725  ,0.274 ,      0.001 ,
-90    ,-52.56 ,-37.44  ,-30.365   ,0.295 ,      0.001 ,
-90    ,-60.12 ,-29.88  ,-24.3     ,0.316 ,      0.001 ,
-90    ,-66.27 ,-23.73  ,-19.335   ,0.337 ,      0.001 ,
-90    ,-71.98 ,-18.02  ,-15.1227  ,0.358 ,      0.001 ,
-90    ,-76.11 ,-13.89  ,-11.7691  ,0.379 ,      0.001 ,
-90    ,-79.1  ,-10.9   ,-9.3506   ,0.4   ,      0.001 ,
-90    ,-81.47 ,-8.53   ,-7.5034   ,0.421 ,      0.001 ,
-90    ,-83.5  ,-6.5    ,-5.9609   ,0.442 ,      0.001 ,
-90    ,-84.81 ,-5.19   ,-4.8503   ,0.463 ,      0.001 ,
-90    ,-85.87 ,-4.13   ,-4.0341   ,0.484 ,      0.022 ,
-90    ,-86.75 ,-3.25   ,-3.3616   ,0.505 ,      0.043 ,
-90    ,-87.27 ,-2.73   ,-2.9089   ,0.526 ,      0.001 ,
